run_utc,run_date,routine,project,status,jira_key,topic,affected_area,wiki_book,wiki_page,wiki_page_id,crud_op,previous_content,new_content,outcome,confidence,fix_version,evidence
2026-06-27T21:46:31Z,27/06/2026,roster_daily_sync,Roster,SUCCESS,ROS-660,Audit Trail for Shift Type Management,ATC,Roster,Roster Core,548,updated,9 bullets in ATC row #10,Added bullet: Multiple field updates for a single Shift Type action are recorded in a single audit entry; the Shift Type name is always included in the Action Description.,ATC row #10 updated with single-audit-entry consolidation bullet,high,8.1,ROS-660 Jira description — audit entry consolidation behavior was missing from ATC coverage
2026-06-27T214459Z,27/06/2026,orange_sign_daily_sync,Orange Sign,NO_CHANGE,,(no changes this run),,,,,No-change,—,—,NO_CHANGE,,,
2026-06-27T003000Z,2026-06-27,pnp_daily_sync,PNP,BLOCKED,,(gate blocked - Jira inaccessible + NAV-2 destination misconfiguration),,,KPI Setup,12,,,,BLOCKED,,8.0.2,Jira MCP denied + REST API 401; page_id=12 wrong destination
2026-05-12T17:44:46Z,12/05/2026,cm_daily_sync,Compensation Management,NO_CHANGE,,cm_daily_sync run (NO_CHANGE),,,,,No-change,—,updated=0 no-change= | stories= bugs=,NO_CHANGE,,,from adoring-albattani-i0UGt:logs/cm_daily_sync/2026-05-12T174446Z.md
2026-05-12T18:02:37Z,12/05/2026,cm_daily_sync,Compensation Management,FAILED,,cm_daily_sync run (FAILED),,,,,No-change,—,updated=0 no-change= | stories= bugs=,FAILED,,,from adoring-albattani-i0UGt:logs/cm_daily_sync/2026-05-12T180237Z.md
2026-05-13T00:35:48Z,13/05/2026,pnp_daily_sync,PNP,BLOCKED,,pnp_daily_sync run (BLOCKED),,,,,No-change,—,updated=0 no-change= | stories= bugs=,BLOCKED,,,from adoring-albattani-i0UGt:logs/pnp_daily_sync/2026-05-13T003548Z.md
2026-05-13T01:37:34Z,13/05/2026,cm_daily_sync,Compensation Management,BLOCKED,,cm_daily_sync run (BLOCKED),,,,,No-change,—,updated=0 no-change= | stories= bugs=,BLOCKED,,,from adoring-albattani-i0UGt:logs/cm_daily_sync/2026-05-13T013734Z.md
2026-05-13T05:20:56Z,13/05/2026,cm_daily_sync,Compensation Management,BLOCKED,,cm_daily_sync run (BLOCKED),,,,,No-change,—,updated=0 no-change= | stories= bugs=,BLOCKED,,,from adoring-albattani-i0UGt:logs/cm_daily_sync/2026-05-13T052056Z.md
2026-05-13T06:48:03Z,13/05/2026,cm_daily_sync,Compensation Management,SUCCESS,,cm_daily_sync run (SUCCESS),,,,,No-change,—,updated=0 no-change= | stories=40 bugs=,SUCCESS,,,from adoring-albattani-i0UGt:logs/cm_daily_sync/2026-05-13T064803Z.md
2026-05-13T07:53:13Z,13/05/2026,cm_daily_sync,Compensation Management,SUCCESS,,cm_daily_sync run (SUCCESS),,,,,No-change,—,updated=0 no-change= | stories=41 bugs=,SUCCESS,,,from adoring-albattani-i0UGt:logs/cm_daily_sync/2026-05-13T075313Z.md
2026-05-13T08:54:24Z,13/05/2026,cm_daily_sync,Compensation Management,SUCCESS,,cm_daily_sync run (SUCCESS),,,,,No-change,—,updated=0 no-change= | stories=35 bugs=,SUCCESS,,,from adoring-albattani-i0UGt:logs/cm_daily_sync/2026-05-13T085424Z.md
2026-05-13T13:17:31Z,13/05/2026,cm_daily_sync,Compensation Management,SUCCESS,,cm_daily_sync run (SUCCESS),,,,,No-change,—,updated=0 no-change= | stories=40 bugs=,SUCCESS,,,from adoring-albattani-i0UGt:logs/cm_daily_sync/2026-05-13T131731Z.md
2026-05-14T00:51:17Z,14/05/2026,pnp_daily_sync,PNP,SUCCESS,,pnp_daily_sync run (SUCCESS),,,,,No-change,—,updated=0 no-change= | stories=20 bugs=,SUCCESS,,,from adoring-albattani-i0UGt:logs/pnp_daily_sync/2026-05-14T005117Z.md
2026-05-14T01:52:18Z,14/05/2026,cm_daily_sync,Compensation Management,SUCCESS,,cm_daily_sync run (SUCCESS),,,,,No-change,—,updated=0 no-change= | stories=40 bugs=,SUCCESS,,,from adoring-albattani-i0UGt:logs/cm_daily_sync/2026-05-14T015218Z.md
2026-05-15T00:46:56Z,15/05/2026,pnp_daily_sync,PNP,SUCCESS,,pnp_daily_sync run (SUCCESS),,,,,No-change,—,updated=0 no-change= | stories=25 bugs=,SUCCESS,,,from adoring-albattani-i0UGt:logs/pnp_daily_sync/2026-05-15T004656Z.md
2026-05-15T01:51:47Z,15/05/2026,cm_daily_sync,Compensation Management,SUCCESS,,cm_daily_sync run (SUCCESS),,,,,No-change,—,updated=0 no-change= | stories=40 bugs=,SUCCESS,,,from adoring-albattani-i0UGt:logs/cm_daily_sync/2026-05-15T015147Z.md
2026-05-15T15:46:46Z,15/05/2026,cm_daily_sync,Compensation Management,NO_CHANGE,,cm_daily_sync run (NO_CHANGE),,,,,No-change,—,updated=0 no-change= | stories=40 bugs=,NO_CHANGE,,,from adoring-albattani-i0UGt:logs/cm_daily_sync/2026-05-15T154646Z.md
2026-05-15T17:50:33Z,15/05/2026,cm_daily_sync,Compensation Management,NO_CHANGE,,cm_daily_sync run (NO_CHANGE),,,,,No-change,—,updated=0 no-change= | stories=40 bugs=,NO_CHANGE,,,from adoring-albattani-i0UGt:logs/cm_daily_sync/2026-05-15T175033Z.md
2026-05-16T00:54:27Z,16/05/2026,pnp_daily_sync,PNP,SUCCESS,,pnp_daily_sync run (SUCCESS),,,,,No-change,—,updated=0 no-change= | stories=15 bugs=,SUCCESS,,,from adoring-albattani-i0UGt:logs/pnp_daily_sync/2026-05-16T005427Z.md
2026-05-16T01:33:00Z,16/05/2026,cm_daily_sync,Compensation Management,NO_CHANGE,,cm_daily_sync run (NO_CHANGE),,,,,No-change,—,updated=0 no-change= | stories=40 bugs=,NO_CHANGE,,,from adoring-albattani-i0UGt:logs/cm_daily_sync/2026-05-16T013300Z.md
2026-05-16T19:56:07Z,16/05/2026,cm_daily_sync,Compensation Management,NO_CHANGE,,cm_daily_sync run (NO_CHANGE),,,Salary,360,No-change,—,updated=0 no-change=6 | stories=6 bugs=12,NO_CHANGE,,8.0,from adoring-albattani-i0UGt:logs/cm_daily_sync/2026-05-16T195607Z.md
2026-05-16T20:21:55Z,16/05/2026,cm_daily_sync,Compensation Management,NO_CHANGE,,cm_daily_sync run (NO_CHANGE),,,Salary,360,No-change,—,updated=0 no-change=6 | stories=6 bugs=12,NO_CHANGE,,8.0,from adoring-albattani-i0UGt:logs/cm_daily_sync/2026-05-16T202155Z.md
2026-05-17T00:48:08Z,17/05/2026,pnp_daily_sync,PNP,SUCCESS,,pnp_daily_sync run (SUCCESS),,,Performance Core,546,Updated,—,updated=15 no-change=0 | stories=14 bugs=21,SUCCESS,,8.0.2,from adoring-albattani-i0UGt:logs/pnp_daily_sync/2026-05-17T004808Z.md
2026-05-17T01:30:00Z,17/05/2026,cm_daily_sync,Compensation Management,NO_CHANGE,,cm_daily_sync run (NO_CHANGE),,,Salary,360,No-change,—,updated=0 no-change=5 | stories=5 bugs=12,NO_CHANGE,,8.0,from adoring-albattani-i0UGt:logs/cm_daily_sync/2026-05-17T013000Z.md
2026-05-17T05:13:51Z,17/05/2026,cm_daily_sync,Compensation Management,SUCCESS,,cm_daily_sync run (SUCCESS),,,Salary,360,Updated,—,updated=5 no-change=0 | stories=5 bugs=12,SUCCESS,,8.0,from adoring-albattani-i0UGt:logs/cm_daily_sync/2026-05-17T051351Z.md
2026-05-17T11:54:37Z,17/05/2026,pnp_daily_sync,PNP,SUCCESS,,pnp_daily_sync run (SUCCESS),,,Performance Core,547,Updated,—,updated=15 no-change=0 | stories=14 bugs=21,SUCCESS,,8.0.2,from adoring-albattani-i0UGt:logs/pnp_daily_sync/2026-05-17T115437Z.md
2026-05-17T17:12:17Z,17/05/2026,cm_daily_sync,Compensation Management,SUCCESS,,cm_daily_sync run (SUCCESS),,,Salary,360,Updated,—,updated=5 no-change=0 | stories=5 bugs=12,SUCCESS,,8.0,from practical-pasteur-INuTI:logs/cm_daily_sync/2026-05-17T171200Z.md
2026-05-18T00:30:00Z,18/05/2026,pnp_daily_sync,PNP,NO_CHANGE,,pnp_daily_sync run (NO_CHANGE),,,Performance Core,547,No-change,—,updated=0 no-change=15 | stories=14 bugs=21,NO_CHANGE,,8.0.2,from adoring-albattani-i0UGt:logs/pnp_daily_sync/2026-05-18T003000Z.md
2026-05-18T01:30:00Z,18/05/2026,cm_daily_sync,Compensation Management,SUCCESS,,cm_daily_sync run (SUCCESS),,,Salary,360,Updated,—,updated=1 no-change=4 | stories=5 bugs=12,SUCCESS,,8.0,from practical-pasteur-2Embl:logs/cm_daily_sync/2026-05-18T013000Z.md
2026-05-18T01:49:04Z,18/05/2026,cm_daily_sync,Compensation Management,NO_CHANGE,,cm_daily_sync run (NO_CHANGE),,,Salary,360,No-change,—,updated=0 no-change=5 | stories=5 bugs=12,NO_CHANGE,,8.0,from practical-pasteur-9QyD6:logs/cm_daily_sync/2026-05-18T014904Z.md
2026-05-18T02:28:02Z,18/05/2026,cm_daily_sync,Compensation Management,SUCCESS,,cm_daily_sync run (SUCCESS),,,Salary,360,Updated,—,updated=5 no-change=0 | stories=5 bugs=12,SUCCESS,,8.0,from practical-pasteur-U6aEM:logs/cm_daily_sync/2026-05-18T022802Z.md
